date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:13	554/554	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:49a0000347937ffd010c585367264cbd%22	https://vasanashop.com/robots.txt		(from )
14:40:13	158437/158437	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:4456dcadf7c33309b7814fec16be7d7a%22	https://vasanashop.com/	C:/Users/tmrwuser/Documents/Smaller%20Creator/Experience/Vasana%20Website/vasanashop.com/index.html	(from )
14:40:13	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Apr%202025%2012:40:14%20GMT	http://vasanashop.com/cdn/shop/t/2/assets/constants.js?v=165488195745554878101676814279	C:/Users/tmrwuser/Documents/Smaller%20Creator/Experience/Vasana%20Website/vasanashop.com/cdn/shop/t/2/assets/constants.02715.delayed	(from https://vasanashop.com/)
14:40:14	167/167	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2020%20Apr%202025%2012:17:34%20GMT	https://vasanashop.com/cdn/shop/t/2/assets/constants.js?v=165488195745554878101676814279	C:/Users/tmrwuser/Documents/Smaller%20Creator/Experience/Vasana%20Website/vasanashop.com/cdn/shop/t/2/assets/constants2715.js	(from https://vasanashop.com/)
14:40:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Apr%202025%2012:40:15%20GMT	http://vasanashop.com/cdn/shop/t/2/assets/pubsub.js?v=2921868252632587581676814281	C:/Users/tmrwuser/Documents/Smaller%20Creator/Experience/Vasana%20Website/vasanashop.com/cdn/shop/t/2/assets/pubsub01db.js	(from https://vasanashop.com/)
14:40:14	474/474	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2020%20Apr%202025%2012:17:34%20GMT	https://vasanashop.com/cdn/shop/t/2/assets/pubsub.js?v=2921868252632587581676814281	C:/Users/tmrwuser/Documents/Smaller%20Creator/Experience/Vasana%20Website/vasanashop.com/cdn/shop/t/2/assets/pubsub01db.js	(from https://vasanashop.com/)
14:40:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Apr%202025%2012:40:15%20GMT	http://vasanashop.com/cdn/shop/t/2/assets/global.js?v=85297797553816670871676814280	C:/Users/tmrwuser/Documents/Smaller%20Creator/Experience/Vasana%20Website/vasanashop.com/cdn/shop/t/2/assets/global9fbb.js	(from https://vasanashop.com/)
14:40:14	29879/29879	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2020%20Apr%202025%2012:17:34%20GMT	https://vasanashop.com/cdn/shop/t/2/assets/global.js?v=85297797553816670871676814280	C:/Users/tmrwuser/Documents/Smaller%20Creator/Experience/Vasana%20Website/vasanashop.com/cdn/shop/t/2/assets/global9fbb.js	(from https://vasanashop.com/)
14:40:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Apr%202025%2012:40:16%20GMT	http://vasanashop.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-c354cc1bc6f1fafc3e06e39f4fb0e1d9abdf763072ca394d606ca9f6f241e68a.js	C:/Users/tmrwuser/Documents/Smaller%20Creator/Experience/Vasana%20Website/vasanashop.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-c354cc1bc6f1fafc3e06e39f4fb0e1d9abdf763072ca394d606ca9f6f241e68a.js	(from https://vasanashop.com/)
14:40:15	3968/3968	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2020%20Apr%202025%2012:40:16%20GMT	https://vasanashop.com/checkouts/internal/preloads.js?locale=en-ES	C:/Users/tmrwuser/Documents/Smaller%20Creator/Experience/Vasana%20Website/vasanashop.com/checkouts/internal/preloadse1d6.js	(from https://vasanashop.com/)
